418.6	0.03	 
383.9	0.07	 
352	.17	 
322.8	.24	 
296	.29	 
271.4	.35	 
249.9	.44	 
228.2	.56	 
209.3	.71	 
191.9	.9	 
176	1.13	 
161.4	1.4	 
148	1.72	 
135.7	2.05	 
124.5	2.39	 
114.1	2.71	 
104.7	3.02	 
95.96	3.26	 
88	3.41	 
80.7	3.48	 
74	3.48	 
67.86	3.44	 
62.23	3.34	 
57.06	3.21	 
52.33	3.06	 
47.98	2.92	 
44	2.77	 
40.35	2.62	 
37	2.47	 
33.93	2.31	 
31.11	2.24	 
28.53	2.1	 
26.16	2.01	 
23.99	1.93	 
22	1.87	 
20.17	1.81	 
18.5	1.81	 
16.96	1.75	 
15.56	1.7	 
14.27	1.65	 
13.08	1.58	 
12	1.52	 
11	1.44	 
10.09	1.37	 
9.25	1.3	 
8.482	1.25	 
7.778	1.2	 
7.133	1.16	 
6.541	1.12	 
5.998	1.09	 
5.5	1.05	 
5.044	1.02	 
4.625	.98	 
4.241	.95	 
3.889	.91	 
3.566	.85	 
3.27	.79	 
2.999	.7	 
2.75	.61	 
2.522	.52	 
2.312	.42	 
2.121	.35	 
1.945	.28	 
1.783	.24	 
1.635	.21	 
1.499	.16	 
1.375	.08	 
1.261	.03	 
1.156	0	 
